ID_Pedido,Nome_Cliente,Valor_Compra,Data_Pedido,Categoria_Produto
P0111,Lucas Pereira,4474.96,2023-05-26,Smartphone
P0112,Maria Oliveira,4074.6,2025-02-06,Smartphone
P0113,Maria Oliveira,1720.47,2023-03-22,Smartphone
P0114,Lucas Pereira,3473.58,20/01/2024,televisão
P0115,Ana Costa,3057.69,2023-06-23,Fone de Ouvido
P0116,Joao Silva,1114.64,2024-11-18,Smartphone
P0117,Pedro Santos,1787.06,2023-04-26,Fone de Ouvido
P0118,Maria Oliveira,4370.03,2024-12-19,Fone de Ouvido
P0119,Maria Oliveira,4618.35,2024-12-02,Smartphone
P0120,João Silva,4849.34,2024-12-24,Smartphone
P0121,Pedro Santos,3743.23,2022-01-18,Acessórios
P0122,,391.73,2022-03-28,Acessórios
P0123,Maria Oliveira,4517.88,2022-05-07,Fone de Ouvido
P0124,Pedro Santos,115.24,2022-10-17,laptop
P0125,Lucas Pereira,3337.32,2022-02-14,laptop
P0126,João Silva,2814.2,2022-03-16,Fone de Ouvido
P0127,Lucas Pereira,3624.74,2024-02-05,Acessórios
P0128,Maria Oliveira,1963.12,2022-04-01,Smartphone
P0129,Ana Costa,824.22,2023-03-07,laptop
P0130,Pedro Santos,781.14,2023-10-15,Smartphone
P0131,,,2022-08-15,laptop
P0132,Joao Silva,828.16,2022-03-19,Fone de Ouvido
P0133,Lucas Pereira,R$ 3530.94,2025-01-12,Fone de Ouvido
P0134,Joao Silva,2333.29,2024-01-27,Smartphone
P0135,Lucas Pereira,4788.14,2022-01-28,Fone de Ouvido
P0136,Pedro Santos,4757.93,2024-06-20,Acessórios
P0137,Maria Oliveira,3491.7,13/07/2023,Acessórios
P0138,Pedro Santos,444.5,2024-05-22,televisão
P0139,João Silva,2508.55,2022-04-28,laptop
P0140,Pedro Santos,2313.0,2024-06-12,laptop
P0141,Ana Costa,4568.45,2025-02-05,Fone de Ouvido
P0142,Pedro Santos,1099.67,26-07-23,laptop
P0143,Ana Costa,3094.11,2023-04-29,Acessórios
P0144,Maria Oliveira,519.36,2024-01-11,televisão
P0145,Lucas Pereira,4546.83,2022-12-05,laptop
P0146,João Silva,3706.06,2023-05-01,televisão
P0147,Pedro Santos,2293.21,2023-07-19,Smartphone
P0148,Lucas Pereira,1840.18,2022-08-20,Acessórios
P0149,Pedro Santos,R$ 3386.44,2024-04-12,Acessórios
P0150,Joao Silva,574.7,2024-07-04,Smartphone
P0151,Lucas Pereira,124.1,2023-07-29,Smartphone
P0152,João Silva,4476.76,2022-04-17,Fone de Ouvido
P0153,Lucas Pereira,4946.47,2024-11-23,laptop
P0154,João Silva,3332.2,2024-08-02,Smartphone
P0155,Joao Silva,4959.76,2023-12-27,Acessórios
P0156,Maria Oliveira123,1274.68,2023-09-30,Smartphone
P0157,Pedro Santos,1563.59,2024-01-23,Smartphone
P0158,Joao Silva123,363.69,2024-07-26,laptop
P0159,Lucas Pereira,3603.17,04/07/2022,Acessórios
P0160,Lucas Pereira,3719.41,2023-07-18,Smartphone
P0161,,4550.59,2024-12-27,televisão
P0162,Pedro Santos,3804.91,2023-05-26,laptop
P0163,Maria Oliveira,3022.05,2024-10-12,laptop
P0164,Pedro Santos,274.51,2022-11-13,Smartphone
P0165,Lucas Pereira123,275.71,2022-09-15,televisão
P0166,Lucas Pereira,1064.38,2022-02-18,televisão
P0167,Pedro Santos,,2023-11-29,Fone de Ouvido
P0168,Lucas Pereira,3868.71,2022-06-07,Fone de Ouvido
P0169,Maria Oliveira,4642.55,02-03-22,Smartphone
P0170,João Silva,4077.91,2024-03-17,Smartphone
P0171,Pedro Santos123,595.05,2022-03-06,Fone de Ouvido
P0172,Pedro Santos123,2727.82,2024-09-16,Fone de Ouvido
P0173,Ana Costa,4879.65,2023-11-26,televisão
P0174,Ana Costa,4459.61,2024-06-20,Acessórios
P0175,Ana Costa,3053.72,2022-04-01,Smartphone
P0176,Lucas Pereira,1497.9,2023-08-04,Acessórios
P0177,Maria Oliveira,2679.2,2025-02-18,Smartphone
P0178,Ana Costa,931.73,2022-03-07,laptop
P0179,Lucas Pereira,101.65,2022-10-12,Acessórios
P0180,Pedro Santos,4429.34,2024-06-20,laptop
P0181,João Silva123,3601.15,2024-01-28,Fone de Ouvido
P0182,Ana Costa,3897.19,2022-01-17,Acessórios
P0183,João Silva,836.67,2025-02-20,Fone de Ouvido
P0184,Maria Oliveira,114.8,2024-07-09,Smartphone
P0185,Ana Costa,1849.58,2024-06-12,Fone de Ouvido
P0186,Ana Costa,3080.03,2024-10-09,laptop
P0187,João Silva,R$ 4195.28,2024-07-23,Acessórios
P0188,Pedro Santos,1585.04,2023-01-12,televisão
P0189,Maria Oliveira,770.33,2022-08-12,laptop
P0190,,819.31,2022-02-24,Smartphone
P0191,Lucas Pereira,1880.69,2024-08-06,televisão
P0192,,3108.77,2022-02-10,Smartphone
P0193,Lucas Pereira,3172.83,2023-05-09,Smartphone
P0194,Lucas Pereira,427.57,2024-01-20,laptop
P0195,Lucas Pereira,4478.09,2022-09-13,Smartphone
P0196,Ana Costa,R$ 4169.19,2023-07-14,Acessórios
P0197,Lucas Pereira123,4152.15,2023-09-18,televisão
P0198,Pedro Santos,1908.65,2022-05-28,Smartphone
P0199,Ana Costa,253.51,2024-10-04,laptop
P0200,Pedro Santos,3246.83,2023-07-18,Smartphone
P0201,Ana Costa,3862.38,2023-07-16,Smartphone
P0202,Ana Costa,3069.73,2024-08-16,televisão
P0203,João Silva,2549.67,2023-06-29,Acessórios
P0204,Maria Oliveira,4175.14,2023-11-01,Smartphone
P0205,Pedro Santos,3817.68,2022-11-17,Fone de Ouvido
P0206,Pedro Santos,579.37,2023-01-06,televisão
P0207,Maria Oliveira,1989.68,2023-05-15,laptop
P0208,Maria Oliveira,2130.97,2024-06-29,Fone de Ouvido
P0209,Pedro Santos,1501.45,2023-09-10,Acessórios
P0210,Lucas Pereira,86.96,2022-01-23,Fone de Ouvido
P0211,João Silva,3088.27,26-05-24,televisão
P0212,Pedro Santos,4627.15,2022-08-08,Acessórios
P0213,João Silva,843431.9704813127,2022-06-02,televisão
P0214,João Silva,2368.12,2022-04-30,Fone de Ouvido
P0215,,3199.82,2024-05-07,Acessórios
P0216,Ana Costa,3288.41,2024-02-02,Fone de Ouvido
P0217,Ana Costa,4693.78,2023-05-13,Acessórios
P0218,Maria Oliveira,2987.13,2022-11-21,laptop
P0219,Maria Oliveira,4082.78,04/01/2024,televisão
P0220,Lucas Pereira,4683.69,2023-02-15,televisão
P0221,Joao Silva,2554.23,2022-08-01,Fone de Ouvido
P0222,Lucas Pereira,3647.98,2024-02-09,Fone de Ouvido
P0223,João Silva,4365.11,2022-02-08,Fone de Ouvido
P0224,Ana Costa,4412.59,2023-02-11,televisão
P0225,João Silva,1468.92,2025-03-03,Fone de Ouvido
P0226,Pedro Santos123,901.14,2023-08-05,laptop
P0227,Pedro Santos,1010.97,2024-05-20,Smartphone
P0228,João Silva,1863.18,2022-05-02,Fone de Ouvido
P0229,Maria Oliveira,3501.15,2023-03-12,Fone de Ouvido
P0230,Ana Costa,3781.77,2022-09-30,Fone de Ouvido
P0231,Maria Oliveira,1571.87,2022-11-16,Acessórios
P0232,Maria Oliveira,2652.59,20/12/2022,televisão
P0233,Ana Costa,4001.82,2023-12-27,laptop
P0234,Maria Oliveira,3078.03,2022-11-23,Smartphone
P0235,Lucas Pereira,3649.66,2022-07-29,Acessórios
P0236,João Silva,2206.98,2022-12-02,laptop
P0237,Maria Oliveira,723.58,2023-08-10,laptop
P0238,Joao Silva,4748.44,19-11-24,Smartphone
P0239,Lucas Pereira,3614.64,2022-05-20,Fone de Ouvido
P0240,Maria Oliveira,4526.15,2022-01-25,Smartphone
P0241,Joao Silva,1562.18,2024-09-24,Smartphone
P0242,Pedro Santos,-13.7633415248531,2023-08-18,laptop
P0243,Lucas Pereira,3301.51,2024-10-28,televisão
P0244,Lucas Pereira,,2024-11-27,Acessórios
P0245,Ana Costa,2024.89,05/10/2024,laptop
P0246,Pedro Santos,1307.2,2023-06-22,Fone de Ouvido
P0247,Pedro Santos,4375.02,2023-12-17,Fone de Ouvido
P0248,Pedro Santos,4776.6,2024-03-26,Smartphone
P0249,Ana Costa,2731.08,2024-10-18,laptop
P0250,Ana Costa,126.81,2024-04-23,Acessórios
P0251,João Silva123,897.79,2023-11-10,Fone de Ouvido
P0252,Ana Costa,2990.09,2023-05-09,Fone de Ouvido
P0253,,3210.31,2023-08-03,Smartphone
P0254,Ana Costa,4124.38,2023-11-19,laptop
P0255,Pedro Santos,1093.95,2022-12-24,Acessórios
P0256,Lucas Pereira,740.88,2022-08-25,Fone de Ouvido
P0257,Pedro Santos123,2789.69,25-09-23,laptop
P0258,Ana Costa,4202.77,2025-01-02,televisão
P0259,Pedro Santos,1124.99,2024-11-28,Fone de Ouvido
P0260,Ana Costa,3882.37,2025-02-24,laptop
P0261,Pedro Santos,1010.55,2024-10-28,Smartphone
P0262,Lucas Pereira,864.57,2022-01-26,laptop
P0263,João Silva,2353.7,2023-09-24,laptop
P0264,Maria Oliveira,1872.49,2023-09-16,Fone de Ouvido
P0265,Maria Oliveira,1004.39,2023-03-01,Smartphone
P0266,Pedro Santos,4286.57,2024-07-22,Smartphone
P0267,Pedro Santos,4359.41,2022-12-17,laptop
P0268,Maria Oliveira,4036.15,2024-07-07,Acessórios
P0269,Lucas Pereira,4483.51,2022-08-09,Acessórios
P0270,Maria Oliveira,2054.64,2022-06-04,laptop
P0271,,3592.11,2023-04-14,Fone de Ouvido
P0272,Ana Costa,2669.6,2024-02-27,Acessórios
P0273,Lucas Pereira,2437.42,2024-12-13,Fone de Ouvido
P0274,Ana Costa,,19-03-23,Fone de Ouvido
P0275,João Silva,1275.14,2024-01-27,televisão
P0276,Lucas Pereira123,1474.32,2023-06-11,Acessórios
P0277,,4351.25,2024-09-15,Fone de Ouvido
P0278,Lucas Pereira,4809.37,2024-05-23,Fone de Ouvido
P0279,Pedro Santos,3966.32,2024-11-07,Fone de Ouvido
P0280,João Silva,1154.21,2022-05-01,Smartphone
P0281,Lucas Pereira,4225.26,2022-09-07,Acessórios
P0282,Ana Costa,188.42,2023-01-01,laptop
P0283,Pedro Santos,3957.8,2024-08-06,Smartphone
P0284,Maria Oliveira,1919.06,2024-01-02,Smartphone
P0285,João Silva,4085.78,2022-06-14,televisão
P0286,Lucas Pereira,4796.93,2022-08-21,Fone de Ouvido
P0287,Ana Costa,4255.85,2022-01-22,laptop
P0288,Lucas Pereira,3127.51,2023-06-23,laptop
P0289,Lucas Pereira,4626.38,2022-12-24,televisão
P0290,Lucas Pereira123,4472.57,2024-05-11,laptop
P0291,João Silva,361.94,2024-03-21,laptop
P0292,Maria Oliveira,4024.37,2022-11-15,laptop
P0293,Ana Costa,484.71,2025-01-13,Acessórios
P0294,Ana Costa,1218.14,2022-03-10,Smartphone
P0295,Maria Oliveira,896.9,11-05-24,televisão
P0296,João Silva,1144.51,2023-08-23,Acessórios
P0297,Lucas Pereira,4363.32,2025-01-07,Smartphone
P0298,Maria Oliveira,2242.68,2022-08-07,Acessórios
P0299,João Silva123,2265.03,2022-02-16,laptop
P0300,Pedro Santos,2486.03,2024-12-21,Acessórios
P0301,Lucas Pereira,1191.63,2024-09-24,Smartphone
P0302,Maria Oliveira,575.04,2024-07-05,Fone de Ouvido
P0303,Ana Costa,2494.29,2023-09-11,Acessórios
P0304,Maria Oliveira,3306.39,2022-04-10,laptop
P0305,João Silva,1893.31,2023-10-05,televisão
P0306,Maria Oliveira,1172.17,2022-11-19,Smartphone
P0307,Lucas Pereira,2106.04,2025-02-26,laptop
P0308,Pedro Santos,2673.34,18/05/2024,Acessórios
P0309,,4328.45,2023-08-06,laptop
P0310,João Silva,3245.09,2024-02-27,Fone de Ouvido
P0311,Maria Oliveira,4823.78,2024-07-13,Smartphone
P0312,Ana Costa,2030.18,2023-11-05,Smartphone
P0313,Pedro Santos,1332.83,20-02-23,laptop
P0314,,1780.78,2023-01-15,laptop
P0315,Lucas Pereira,694.44,2022-03-08,Acessórios
P0316,Pedro Santos,,2023-02-04,televisão
P0317,Lucas Pereira123,3048.82,2023-05-08,laptop
P0318,Lucas Pereira,2758.54,2022-06-13,Fone de Ouvido
P0319,Ana Costa,3137.56,14-06-24,laptop
P0320,Maria Oliveira,4127.44,24/06/2024,Fone de Ouvido
P0321,Pedro Santos,259.35,2022-12-13,Acessórios
P0322,Maria Oliveira,451.68,09-07-24,televisão
P0323,Lucas Pereira,3318.86,2023-01-18,Acessórios
P0324,João Silva,R$ 3732.06,2024-03-14,laptop
P0325,João Silva,3856.14,2022-11-14,Acessórios
P0326,Maria Oliveira,1993.33,2023-11-22,Smartphone
P0327,Lucas Pereira,344.62,2024-03-28,laptop
P0328,João Silva,4991.61,05/11/2024,Fone de Ouvido
P0329,Pedro Santos,571.77,2022-10-27,Smartphone
P0330,João Silva,2590.29,2022-01-30,laptop
P0331,,2688.72,2023-05-01,Fone de Ouvido
P0332,João Silva,1752.24,2024-08-13,televisão
P0333,João Silva,665.84,14/03/2023,televisão
P0334,João Silva,4591.19,12-12-24,Acessórios
P0335,Ana Costa,1883.13,2024-06-23,televisão
P0336,Ana Costa123,1018.2,2024-04-30,televisão
P0337,Ana Costa,4142.71,2024-11-01,Acessórios
P0338,Pedro Santos,3405.43,2022-09-17,Fone de Ouvido
P0339,Pedro Santos,4465.46,2022-10-11,laptop
P0340,Ana Costa,,2024-12-13,Fone de Ouvido
P0341,Ana Costa,113.38,2023-10-11,Fone de Ouvido
P0342,Lucas Pereira,1108.97,2022-11-19,laptop
P0343,Ana Costa,2593.03,2023-01-28,televisão
P0344,,3433.63,2023-09-17,Fone de Ouvido
P0345,Pedro Santos,3214.98,2023-04-25,televisão
P0346,Ana Costa,,2022-04-14,televisão
P0347,João Silva,794.43,2022-07-15,laptop
P0348,Joao Silva,4945.19,2022-06-16,Smartphone
P0349,João Silva,4341.39,2023-02-07,televisão
P0350,Ana Costa,4840.28,2024-08-29,laptop
P0351,Ana Costa123,1023.92,19-09-23,televisão
P0352,João Silva,2956.97,2023-02-26,Fone de Ouvido
P0353,Maria Oliveira,3914.65,2023-09-30,Fone de Ouvido
P0354,João Silva,3602.54,2024-01-09,laptop
P0355,Maria Oliveira,2133.34,2024-06-11,laptop
P0356,Ana Costa123,4380.33,25/05/2023,Smartphone
P0357,Lucas Pereira123,4466.94,2024-12-26,Fone de Ouvido
P0358,Lucas Pereira,3023.6,2022-12-15,Smartphone
P0359,Pedro Santos,3244.27,2023-08-03,Fone de Ouvido
P0360,João Silva,3093.57,2023-12-07,Smartphone
P0361,Maria Oliveira123,1019.44,2023-12-04,laptop
P0362,Pedro Santos,1669.05,2023-07-04,televisão
P0363,Maria Oliveira,747.79,17-09-24,Smartphone
P0364,Lucas Pereira,331.27,2023-04-11,Smartphone
P0365,Ana Costa,268.81,2023-12-15,televisão
P0366,Lucas Pereira,1508.23,2023-12-27,televisão
P0367,Ana Costa,,2024-04-13,Fone de Ouvido
P0368,Lucas Pereira,3023.49,2023-10-18,Fone de Ouvido
P0369,Maria Oliveira,1229.75,2024-03-27,laptop
P0370,João Silva,2642.17,2023-04-29,Acessórios
P0371,Lucas Pereira,4111.47,2024-02-28,televisão
P0372,Ana Costa,3827.93,2023-04-29,Smartphone
P0373,,4428.93,2022-10-31,Smartphone
P0374,João Silva,2601.97,2023-04-08,Acessórios
P0375,João Silva,4061.82,2025-01-04,Fone de Ouvido
P0376,Lucas Pereira,2937.22,2022-05-20,Fone de Ouvido
P0377,Pedro Santos,3418.96,2024-03-27,Acessórios
P0378,Ana Costa,4820.75,02/05/2023,Fone de Ouvido
P0379,Ana Costa,2289.52,2024-10-19,Smartphone
P0380,Maria Oliveira,4293.27,2024-01-10,Smartphone
P0381,Ana Costa,115.23,2023-06-09,Smartphone
P0382,Joao Silva,1307.58,2022-08-24,Smartphone
P0383,Maria Oliveira,4275.78,2024-07-24,Fone de Ouvido
P0384,Maria Oliveira,1424.15,2024-03-28,Fone de Ouvido
P0385,Maria Oliveira,686.74,2022-12-31,Acessórios
P0386,,3142.01,2023-01-22,Acessórios
P0387,Maria Oliveira,3826.47,2024-02-17,Fone de Ouvido
P0388,Pedro Santos,,2024-12-18,Smartphone
P0389,Lucas Pereira,765.63,2024-02-29,televisão
P0390,Ana Costa,4116.74,2023-05-12,Fone de Ouvido
P0391,Maria Oliveira,641.82,2022-05-27,laptop
P0392,João Silva,1578.65,2022-04-17,Fone de Ouvido
P0393,Pedro Santos,4593.75,2022-08-15,Acessórios
P0394,João Silva,1617.39,2022-05-10,laptop
P0395,Pedro Santos,3830.55,29-07-23,Acessórios
P0396,Pedro Santos,2101.77,2024-10-21,laptop
P0397,Lucas Pereira,1063.56,2022-05-03,Fone de Ouvido
P0398,João Silva,3294.57,2024-03-22,Smartphone
P0399,Ana Costa,4727.34,2024-01-26,Acessórios
P0400,Pedro Santos123,4315.73,2023-09-25,Smartphone
P0401,Ana Costa,815.33,2024-09-26,Acessórios
P0402,João Silva,512.17,2025-02-21,Fone de Ouvido
P0403,Joao Silva,1847.26,2024-07-12,Smartphone
P0404,Maria Oliveira,2932.81,2024-05-30,Acessórios
P0405,Maria Oliveira,231.12,2024-07-21,Acessórios
P0406,Lucas Pereira,82.27,2022-11-04,Acessórios
P0407,Maria Oliveira,4773.16,2023-01-06,Acessórios
P0408,João Silva,4270.2,2022-11-23,Fone de Ouvido
P0409,Lucas Pereira,3264.45,2022-11-11,televisão
P0410,Maria Oliveira,2345.67,2022-10-01,Acessórios
P0411,Ana Costa,863.06,2023-08-01,televisão
P0412,Ana Costa,874.64,2022-03-02,Fone de Ouvido
P0413,Ana Costa,2545.25,2023-04-15,Acessórios
P0414,,3775.01,2023-08-09,Smartphone
P0415,João Silva,1108.29,2023-09-09,Smartphone
P0416,Lucas Pereira,3641.83,2024-12-23,Acessórios
P0417,Pedro Santos123,1559.78,2024-10-22,laptop
P0418,Pedro Santos,3443.53,2022-07-01,Smartphone
P0419,Maria Oliveira,R$ 3588.89,2024-06-01,laptop
P0420,João Silva,4407.8,2024-02-23,televisão
P0421,Ana Costa,1659.26,2024-04-24,Fone de Ouvido
P0422,Lucas Pereira,3558.3,2024-07-27,televisão
P0423,Pedro Santos,843431.9704813127,2023-08-26,Smartphone
P0424,Maria Oliveira,3270.68,2023-04-23,Smartphone
P0425,Pedro Santos,4232.09,2023-07-20,Acessórios
P0426,Pedro Santos,3840.53,2023-02-05,laptop
P0427,Lucas Pereira,2030.43,2024-04-17,televisão
P0428,Pedro Santos123,,16-09-24,Acessórios
P0429,Ana Costa,2893.72,2024-09-26,Fone de Ouvido
P0430,Lucas Pereira,1635.56,2023-03-13,Acessórios
P0431,Lucas Pereira123,337.25,2023-03-12,televisão
P0432,Maria Oliveira,4314.6,2024-07-02,televisão
P0433,Lucas Pereira,4820.65,2025-01-18,laptop
P0434,Lucas Pereira,1665.65,2022-10-12,Smartphone
P0435,João Silva,2395.79,2024-01-06,Smartphone
P0436,,3715.73,2023-05-27,Smartphone
P0437,Lucas Pereira,3221.63,2023-11-10,Smartphone
P0438,Lucas Pereira,580.78,2024-02-28,Acessórios
P0439,Ana Costa,2986.56,2023-08-15,Smartphone
P0440,João Silva,2578.49,2025-01-18,Smartphone
P0441,Maria Oliveira,1210.0,09-02-23,televisão
P0442,Pedro Santos,1236.05,2023-01-22,Acessórios
P0443,Pedro Santos,468.4,2022-09-04,laptop
P0444,Ana Costa,456.89,2023-10-25,televisão
P0445,Ana Costa,4214.9,2022-08-23,laptop
P0446,João Silva,2230.98,02-05-22,Smartphone
P0447,Lucas Pereira,3811.73,2024-05-06,laptop
P0448,Pedro Santos,4009.14,2024-08-23,televisão
P0449,Ana Costa,1576.2,17-05-24,laptop
P0450,Lucas Pereira,2158.71,2024-09-30,Smartphone
P0451,Pedro Santos,3952.02,01-08-22,Acessórios
P0452,Pedro Santos,205.71,2023-07-13,televisão
P0453,Lucas Pereira,375.88,2022-05-04,Acessórios
P0454,João Silva,1167.43,2022-03-04,Fone de Ouvido
P0455,Lucas Pereira,,2024-03-23,televisão
P0456,Ana Costa,1371.52,2023-12-06,Smartphone
P0457,Lucas Pereira,3218.33,2023-09-25,Acessórios
P0458,Maria Oliveira,1800.03,2024-09-26,Acessórios
P0459,,402.12,11/06/2022,Acessórios
P0460,,3434.78,2024-11-06,Smartphone
P0461,Ana Costa,4668.85,2024-03-17,televisão
P0462,João Silva,2343.4,2024-06-04,televisão
P0463,Ana Costa,3494.88,2024-04-30,laptop
P0464,Pedro Santos,3270.85,2022-11-17,Fone de Ouvido
P0465,Maria Oliveira,1065.03,2022-02-26,Acessórios
P0466,Maria Oliveira,4740.03,29-01-22,Smartphone
P0467,,3031.32,2024-07-01,laptop
P0468,João Silva,441.04,2022-09-23,Smartphone
P0469,Pedro Santos,4280.6,2024-09-19,Fone de Ouvido
P0470,Lucas Pereira,4137.54,2024-01-21,laptop
P0471,João Silva,4716.4,2024-07-07,Fone de Ouvido
P0472,João Silva,3076.26,2022-12-20,Fone de Ouvido
P0473,Pedro Santos,4377.47,2022-03-24,laptop
P0474,Joao Silva123,899.29,2024-11-19,laptop
P0475,,4409.64,2023-08-02,Acessórios
P0476,,1938.83,2024-11-16,televisão
